alpha,run_id,peak_infections,peak_time,success
6,5,2328,47.0,1
6,6,2207,38.0,1
6,7,2204,37.5,1
6,8,2249,42.0,1
6,9,2192,34.5,1
6,10,2151,35.0,1
6,11,1587,60.0,1
6,12,2063,35.5,1
6,13,2099,41.5,1
6,14,2155,40.0,1
6,15,2227,38.0,1
6,16,2152,37.0,1
6,17,2252,43.5,1
6,18,2166,33.0,1
6,19,2266,40.0,1
6,20,2136,37.5,1
6,21,2321,43.0,1
6,22,2276,51.5,1
6,23,2255,43.5,1
6,24,2276,41.0,1
6,25,2204,39.5,1
6,26,2239,36.5,1
6,27,2153,37.0,1
6,28,2232,39.5,1
6,29,2167,39.5,1
6,30,2132,43.0,1
6,31,2268,44.5,1
6,32,2273,41.5,1
6,33,2199,36.5,1
6,34,2237,37.0,1
6,35,2120,37.0,1
6,36,2130,43.5,1
6,37,2287,37.5,1
6,38,2130,40.5,1
6,39,2268,39.5,1
6,40,2144,37.0,1
6,41,2207,37.5,1
6,42,2270,52.0,1
6,43,2194,36.5,1
6,44,2233,37.5,1
6,45,2139,39.0,1
6,46,2156,42.0,1
6,47,2208,43.5,1
6,48,2277,36.5,1
6,49,2103,40.5,1
6,50,2198,36.5,1
6,51,2164,41.0,1
6,52,2307,46.0,1
6,53,2064,44.0,1
6,54,2275,36.0,1
6,55,2223,41.0,1
6,56,2265,42.0,1
6,57,2275,34.5,1
6,58,2185,37.5,1
6,59,2195,35.5,1
6,60,2137,41.0,1
6,61,2196,38.0,1
6,62,2160,41.5,1
6,63,2148,36.5,1
6,64,2377,38.5,1
6,65,2299,41.0,1
6,66,2247,37.5,1
6,67,2279,44.0,1
6,68,2190,39.0,1
6,69,2226,38.0,1
6,70,2151,43.0,1
6,71,2203,42.5,1
6,72,2180,39.5,1
6,73,2086,39.5,1
6,74,2246,39.0,1
6,75,2078,36.0,1
6,76,2200,36.0,1
6,77,2303,38.5,1
6,78,2414,44.0,1
6,79,2320,43.0,1
6,80,2228,38.5,1
6,81,2185,40.0,1
6,82,2210,37.5,1
6,83,2177,38.5,1
6,84,2183,37.5,1
6,85,2188,43.5,1
6,86,2230,51.5,1
6,87,2303,38.5,1
6,88,2193,39.0,1
6,89,2199,41.5,1
6,90,2281,47.5,1
6,91,2258,37.5,1
6,92,2017,37.5,1
6,93,2220,35.0,1
6,94,2156,43.0,1
6,95,2169,39.5,1
6,96,2099,48.5,1
6,97,2246,38.5,1
6,98,2128,42.5,1
6,99,2236,38.0,1
